minutes_since_peak,mean_normalized_attention,median_normalized_attention,mean_new_view_count,items_observed,eligible_for_fit
150.0,0.16772733921219687,0.0,242.95238095238096,21,True
151.0,0.11271369848064279,0.0,74.66666666666667,21,True
152.0,0.002410266432154257,0.0,1.7619047619047619,21,True
153.0,0.0020194124161292426,0.0,1.4761904761904763,21,True
154.0,0.1319354706445962,0.0,344.6190476190476,21,True
155.0,0.23279973572273066,0.24448775733950542,416.6190476190476,21,True
156.0,0.022510170137543674,0.0,20.19047619047619,21,True
157.0,0.0009771350400625367,0.0,0.7142857142857143,21,True
158.0,0.0020845547521334113,0.0,1.5238095238095237,21,True
159.0,0.12513653675580697,0.0,281.2857142857143,21,True
160.0,0.2912559420467432,0.2954476936991257,496.14285714285717,21,True
161.0,0.004793391576457497,0.0,2.5238095238095237,21,True
162.0,0.0016285584001042277,0.0,1.1904761904761905,21,True
163.0,0.0013028467200833821,0.0,0.9523809523809523,21,True
164.0,0.08786970769788668,0.0,238.42857142857142,21,True
165.0,0.1689978778338977,0.16540084388185655,254.47619047619048,21,True
166.0,0.012285253388330137,0.0,7.0,21,True
167.0,0.0011074197120708748,0.0,0.8095238095238095,21,True
168.0,0.010173881628436701,0.0,92.85714285714286,21,True
169.0,0.1093390071493302,0.0,300.1904761904762,21,True
170.0,0.15990954286679818,0.005213270142180095,261.4761904761905,21,True
171.0,0.06718896755999906,0.0,48.095238095238095,21,True
172.0,0.0007165656960458602,0.0,0.5238095238095238,21,True
173.0,0.018127590253930514,0.0,180.1904761904762,21,True
174.0,0.15856058544091717,0.0,198.71428571428572,21,True
175.0,0.18365974401971816,0.1330977620730271,424.4761904761905,21,True
176.0,0.041400746379753633,0.0,17.38095238095238,21,True
177.0,0.0007817080320500293,0.0,0.5714285714285714,21,True
178.0,0.023969971532546652,0.0,235.57142857142858,21,True
179.0,0.19669152445035804,0.0,356.14285714285717,21,True
180.0,0.19167071877729164,0.0021245301519856184,225.04761904761904,21,True
