captured_at,video_id,channel_id,title,published_at,duration_seconds,view_count,like_count,comment_count
2026-03-24T18:55:14+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58654,1604,160
2026-03-24T18:55:45+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58654,1604,160
2026-03-24T18:56:15+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58759,1604,160
2026-03-24T18:56:45+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58759,1604,160
2026-03-24T18:57:15+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58759,1605,160
2026-03-24T18:57:46+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58759,1605,160
2026-03-24T18:58:16+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58759,1605,160
2026-03-24T18:58:46+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58759,1605,160
2026-03-24T18:59:17+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58759,1605,160
2026-03-24T18:59:47+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58759,1605,160
2026-03-24T19:00:17+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58759,1605,160
2026-03-24T19:00:48+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58908,1606,160
2026-03-24T19:01:18+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58908,1606,160
2026-03-24T19:01:48+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58908,1606,160
2026-03-24T19:02:18+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58908,1606,160
2026-03-24T19:02:49+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58908,1606,160
2026-03-24T19:03:19+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58908,1606,160
2026-03-24T19:03:49+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58908,1606,160
2026-03-24T19:04:19+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58908,1606,160
2026-03-24T19:04:50+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58908,1606,160
2026-03-24T19:05:20+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,58908,1606,160
2026-03-24T19:05:50+00:00,lxNeD0qjFlU,UCB_qr75-ydFVKSF9Dmo6izg,Game On At Mercedes? | Japanese GP Preview | F1 Nation Podcast,2026-03-23T12:43:01Z,3461,59025,1607,160
